id;first_name;last_name;email;employee_number;phone_number;hire_date;language
1;Howard;Rippin;Rocio_Ritchie@yahoo.com;papa yowza;surprisingly shipper under;2024-11-10T10:43:24;FRENCH
2;Harmony;Reichel;Chelsey.Olson56@hotmail.com;redesign midst;blah;2024-11-09T22:47:30;FRENCH
3;Kacey;Maggio;Ignatius_Moen27@yahoo.com;gee that clear;dimly upbeat supposing;2024-11-10T02:42:44;SPANISH
4;Golden;Wisoky;Haylee_Kovacek38@hotmail.com;retention duh;finally mmm than;2024-11-09T14:58:35;SPANISH
5;Sarah;Sauer;Sierra_Turner@gmail.com;cumbersome;what and;2024-11-09T19:31:28;SPANISH
6;Johnnie;Miller;Adelbert55@hotmail.com;clonk;fatally who athletic;2024-11-09T22:09:53;FRENCH
7;Gladys;Waters;Wilhelm20@hotmail.com;woot;blah duh;2024-11-09T23:38:10;FRENCH
8;Caden;Frami;Rose.Brakus@gmail.com;gadzooks er vivaciously;slipper yawningly matter;2024-11-09T20:17:47;SPANISH
9;Giovanni;Jaskolski;Kayden_Brekke62@yahoo.com;beside confused;unkempt these;2024-11-09T17:40:18;SPANISH
10;Solon;Kemmer;Jordi95@yahoo.com;zowie best till;acclaimed substitution although;2024-11-10T04:04:12;ENGLISH
